Codigo;Descripcion;Clasificador;Periodo;Indice_IPC;v_m_IPC;v_i_a_IPC;Region;v_i_a_IPC_pond17
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201612;100;NA;NA;Nacional;NA
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201701;101,5859;1,6;NA;Nacional;1,7
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201702;103,6859;2,1;NA;Nacional;2,3
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201703;106,1476;2,4;NA;Nacional;2,6
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201704;108,9667;2,7;NA;Nacional;2,8
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201705;110,5301;1,4;NA;Nacional;1,4
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201706;111,8477;1,2;NA;Nacional;1,2
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201707;113,7852;1,7;NA;Nacional;1,8
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201708;115,3819;1,4;NA;Nacional;1,5
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201709;117,5719;1,9;NA;Nacional;1,9
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201710;119,3528;1,5;NA;Nacional;1,5
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201711;120,994;1,4;NA;Nacional;1,4
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201712;124,7956;3,1;24,8;Nacional;3,9
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201801;126,9887;1,8;25;Nacional;1,8
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201802;130,0606;2,4;25,4;Nacional;2,8
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201803;133,1054;2,3;25,4;Nacional;2,4
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201804;136,7512;2,7;25,5;Nacional;2,9
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201805;139,5893;2,1;26,3;Nacional;2
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201806;144,8053;3,7;29,5;Nacional;3,7
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201807;149,2966;3,1;31,2;Nacional;3,1
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201808;155,1034;3,9;34,4;Nacional;4,2
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201809;165,2383;6,5;40,5;Nacional;6,4
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201810;174,1473;5,4;45,9;Nacional;5,5
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201811;179,6388;3,2;48,5;Nacional;3,1
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201812;184,2552;2,6;47,6;Nacional;2,7
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201901;189,6101;2,9;49,3;Nacional;3
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201902;196,7501;3,8;51,3;Nacional;3,7
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201903;205,9571;4,7;54,7;Nacional;4,7
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201904;213,0517;3,4;55,8;Nacional;3,4
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201905;219,5691;3,1;57,3;Nacional;3,1
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201906;225,537;2,7;55,8;Nacional;2,8
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201907;230,494;2,2;54,4;Nacional;2,2
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201908;239,6077;4;54,5;Nacional;3,8
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201909;253,7102;5,9;53,5;Nacional;5,7
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201910;262,0661;3,3;50,5;Nacional;3,1
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201911;273,2158;4,3;52,1;Nacional;4,2
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201912;283,4442;3,7;53,8;Nacional;3,7
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202001;289,8299;2,3;52,9;Nacional;2,2
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202002;295,666;2;50,3;Nacional;1,9
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202003;305,5515;3,3;48,4;Nacional;3,4
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202004;310,1243;1,5;45,6;Nacional;1,2
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202005;314,9087;1,5;43,4;Nacional;1,5
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202006;321,9738;2,2;42,8;Nacional;2,1
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202007;328,2014;1,9;42,4;Nacional;1,8
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202008;337,0632;2,7;40,7;Nacional;2,6
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202009;346,6207;2,8;36,6;Nacional;2,6
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202010;359,657;3,8;37,2;Nacional;3,5
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202011;371,0211;3,2;35,8;Nacional;3
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202012;385,8826;4;36,1;Nacional;3,7
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202101;401,5071;4;38,5;Nacional;4,1
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202102;415,8595;3,6;40,7;Nacional;3,4
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202103;435,8657;4,8;42,6;Nacional;4,8
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202104;453,6503;4,1;46,3;Nacional;3,9
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202105;468,725;3,3;48,8;Nacional;3,2
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202106;483,6049;3,2;50,2;Nacional;3,2
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202107;498,0987;3;51,8;Nacional;2,9
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202108;510,3942;2,5;51,4;Nacional;2,3
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202109;528,4968;3,5;52,5;Nacional;3,3
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202110;547,0802;3,5;52,1;Nacional;3,3
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202111;560,9184;2,5;51,2;Nacional;2,3
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202112;582,4575;3,8;50,9;Nacional;3,6
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202201;605,0317;3,9;50,7;Nacional;3,7
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202202;633,4341;4,7;52,3;Nacional;4,4
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202203;676,0566;6,7;55,1;Nacional;6,7
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202204;716,9399;6;58;Nacional;5,7
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202205;753,147;5,1;60,7;Nacional;4,9
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202206;793,0278;5,3;64;Nacional;5,1
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202207;851,761;7,4;71;Nacional;7,1
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202208;911,1316;7;78,5;Nacional;6,6
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202209;967,3076;6,2;83;Nacional;5,6
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202210;1028,706;6,3;88;Nacional;6,5
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202211;1079,2787;4,9;92,4;Nacional;5,3
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202212;1134,5875;5,1;94,8;Nacional;5
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202301;1202,979;6;98,8;Nacional;6,4
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202302;1282,7091;6,6;102,5;Nacional;6,4
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202303;1381,1601;7,7;104,3;Nacional;7,5
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202304;1497,2147;8,4;108,8;Nacional;7,8
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202305;1613,5895;7,8;114,2;Nacional;8,1
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202306;1709,6115;6;115,6;Nacional;6,4
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202307;1818,0838;6,3;113,4;Nacional;6,5
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202308;2044,2832;12,4;124,4;Nacional;11,6
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202309;2304,9242;12,7;138,3;Nacional;12
