Codigo;Descripcion;Clasificador;Periodo;Indice_IPC;v_m_IPC;v_i_a_IPC;Region;v_i_a_IPC_pond17;IS_sector_privado_registrado;IS_sector_publico;IS_total_registrado;IS_sector_no_registrado;IS_indice_total;Indice_inflacion_esperada;Tipo_cambio_minorista;Tipo_cambio_mayorista;Tipo_cambio_informal;Cant_dinero_liquido
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201612;100;NA;NA;Nacional;NA;102.89;102.37;102.69;103.2;102.79;19.6;16.13;158502;16.67;78789468539
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201701;101,5859;1,6;NA;Nacional;1.7;106.34;102.68;104.98;102;104.38;19.7;16.14;159117;16.44;81548540273
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201702;103,6859;2,1;NA;Nacional;2.3;107.69;103.08;105.97;104.94;105.76;19.5;15.76;15455;16.08;827035.25
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201703;106,1476;2,4;NA;Nacional;2.6;109.26;107.24;108.5;110.08;108.82;18.4;15.63;153818;15.78;7906018065
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201704;108,9667;2,7;NA;Nacional;2.8;112.93;110.81;112.14;114.61;112.63;17.5;15.72;154268;15.79;789256.6
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201705;110,5301;1,4;NA;Nacional;1.4;115.18;112.28;114.09;115.79;114.43;17;16.38;16142;16.19;7843554838
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201706;111,8477;1,2;NA;Nacional;1.2;117.23;115.3;116.51;116.24;116.45;17;16.88;165985;16.64;8102298667
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201707;113,7852;1,7;NA;Nacional;1.8;122.8;118.49;121.19;120.74;121.1;17.1;17.94;17.67;17.87;850826871
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201708;115,3819;1,4;NA;Nacional;1.5;124.55;121.54;123.43;126.06;123.95;17.2;17.61;17365;18.03;8588881291
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201709;117,5719;1,9;NA;Nacional;1.9;126;123.89;125.21;127.7;125.71;16.9;17.6;173183;17.71;8722821333
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201710;119,3528;1,5;NA;Nacional;1.5;128.23;126.03;127.4;128.5;127.62;17.3;17.93;176713;17.9;8878499032
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201711;120,994;1,4;NA;Nacional;1.4;130.04;127.32;129.03;131.95;129.61;17.5;17.63;173845;17.76;906481.8
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201712;124,7956;3,1;24,8;Nacional;3.9;131.01;127.94;129.86;135.71;131.03;17.4;18.92;187742;19.08;9826583549
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201801;126,9887;1,8;25;Nacional;1.8;133.25;128.45;131.46;136.57;132.48;18.6;19.93;196525;19.75;10266800968
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201802;130,0606;2,4;25,4;Nacional;2.8;134.31;129.32;132.44;138.19;133.59;17.6;20.42;20115;20.15;10287104143
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201803;133,1054;2,3;25,4;Nacional;2.4;136.23;132.97;135.01;140.7;136.14;17.8;20.44;201433;20.56;10220938677
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201804;136,7512;2,7;25,5;Nacional;2.9;141.01;135.01;138.77;144;139.81;18.2;20.88;206917;20.8;10197348533
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201805;139,5893;2,1;26,3;Nacional;2;144.47;137.16;141.74;142.73;141.93;22.2;25.51;249475;25.57;10236800968
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201806;144,8053;3,7;29,5;Nacional;3.7;146.47;138.97;143.67;141.02;143.14;24.2;29.57;288617;28.9;10655297667
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201807;149,2966;3,1;31,2;Nacional;3.1;149.94;143.01;147.36;145.09;146.9;23.7;28.03;273425;27.95;11107400064
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201808;155,1034;3,9;34,4;Nacional;4.2;154.2;147.26;151.61;148.81;151.05;31.5;38;37125;37;11970972968
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201809;165,2383;6,5;40,5;Nacional;6.4;157.82;152.41;155.8;154.02;155.44;31.9;41.89;408967;40.3;1270760.9
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201810;174,1473;5,4;45,9;Nacional;5.5;163.86;159.53;162.24;156.63;161.12;30.6;36.98;361967;35.5;12521029322
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201811;179,6388;3,2;48,5;Nacional;3.1;168.06;162.69;166.05;164.93;165.83;28.6;38.81;380217;37;12562574367
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201812;184,2552;2,6;47,6;Nacional;2.7;170.85;166.66;169.29;172.61;169.94;28.7;38.85;378083;39.5;1336800471
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201901;189,6101;2,9;49,3;Nacional;3;176.91;170.98;174.7;177.16;175.19;28.5;38.28;37035;36.5;13455873871
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201902;196,7501;3,8;51,3;Nacional;3.7;181.76;175.37;179.37;181.72;179.84;29;40.14;389983;38.5;13432291928
0;NIVEL GENERAL;Nivel general y divisiones COICOP;201903;205,9571;4,7;54,7;Nacional;4.7;188.26;184.99;187.04;186.59;186.94;30.7;44.4;433533;43.15;13143885903
